date and time,temperature,humidity,wind speed,cloud cover,amount of precipitation
01.01.2024 00:00,17.0,56,3,25%,0.3
01.01.2024 03:00,10.6,45,11,100%,
01.01.2024 06:00,18.5,58,19,50%,14.0
01.01.2024 09:00,27.2,95,14,0%,
01.01.2024 12:00,9.7,77,15,0%,
01.01.2024 15:00,9.7,67,4,70 – 80%,
01.01.2024 18:00,27.8,41,14,0%,0.5
01.01.2024 21:00,19.7,77,16,100%,8.0
02.01.2024 00:00,7.3,94,17,50%,1.0
02.01.2024 03:00,17.4,76,4,25%,
02.01.2024 06:00,7.4,90,12,0%,
02.01.2024 09:00,7.3,91,18,25%,4.0
02.01.2024 12:00,14.4,43,12,0%,0.8
02.01.2024 15:00,-7.1,61,17,50%,Trace of precipitation
02.01.2024 18:00,-5.2,65,13,100%,
02.01.2024 21:00,6.4,88,3,50%,Trace of precipitation
03.01.2024 00:00,1.9,82,3,25%,
03.01.2024 03:00,15.1,75,19,0%,
03.01.2024 06:00,2.9,97,19,25%,
03.01.2024 09:00,-2.1,52,18,100%,
03.01.2024 12:00,26.7,91,12,50%,6.0
03.01.2024 15:00,9.7,97,11,25%,13.0
03.01.2024 18:00,12.7,71,6,25%,7.0
03.01.2024 21:00,-2.2,56,11,100%,5.0
04.01.2024 00:00,6.6,80,3,0%,
04.01.2024 03:00,13.1,75,1,25%,1.0
04.01.2024 06:00,0.5,94,1,100%,
04.01.2024 09:00,15.8,99,4,0%,15.0
04.01.2024 12:00,6.0,85,9,0%,6.0
04.01.2024 15:00,9.1,58,9,50%,3.0
04.01.2024 18:00,6.0,97,8,100%,
04.01.2024 21:00,30.5,99,12,0%,2.0
05.01.2024 00:00,11.9,74,6,50%,
05.01.2024 03:00,1.4,85,4,70 – 80%,
05.01.2024 06:00,20.2,79,9,100%,5.0
05.01.2024 09:00,-0.2,95,9,70 – 80%,
05.01.2024 12:00,14.1,98,5,0%,12.0
05.01.2024 15:00,-7.6,67,18,100%,
05.01.2024 18:00,-1.3,40,7,50%,
